year,energy_source,energy_type,energy_source_consumption
2011,solar_consumption,low_carbon_consumption,168.766
2011,wind_consumption,low_carbon_consumption,1141.844
2012,biofuel_consumption,low_carbon_consumption,764.713
2012,coal_consumption,fossil_fuel_consumption,44185.345
2012,gas_consumption,fossil_fuel_consumption,33220.032
2012,hydro_consumption,low_carbon_consumption,9400.811
2012,nuclear_consumption,low_carbon_consumption,6364.201
2012,oil_consumption,fossil_fuel_consumption,49156.72
2012,other_renewable_consumption,low_carbon_consumption,1109.535
2012,solar_consumption,low_carbon_consumption,259.658
2012,wind_consumption,low_carbon_consumption,1367.349
2013,biofuel_consumption,low_carbon_consumption,817.131
2013,coal_consumption,fossil_fuel_consumption,44993.467
2013,gas_consumption,fossil_fuel_consumption,33766.139
2013,hydro_consumption,low_carbon_consumption,9764.87
2013,nuclear_consumption,low_carbon_consumption,6383.714
2013,oil_consumption,fossil_fuel_consumption,49688.511
2013,other_renewable_consumption,low_carbon_consumption,1187.923
2013,solar_consumption,low_carbon_consumption,356.169
2013,wind_consumption,low_carbon_consumption,1627.737
2014,biofuel_consumption,low_carbon_consumption,875.835
2014,coal_consumption,fossil_fuel_consumption,44954.435
2014,gas_consumption,fossil_fuel_consumption,33994.279
2014,hydro_consumption,low_carbon_consumption,9910.341
2014,nuclear_consumption,low_carbon_consumption,6466.974
2014,oil_consumption,fossil_fuel_consumption,50013.654
2014,other_renewable_consumption,low_carbon_consumption,1274.776
2014,solar_consumption,low_carbon_consumption,503.532
2014,wind_consumption,low_carbon_consumption,1797.902
2015,biofuel_consumption,low_carbon_consumption,907.399
2015,coal_consumption,fossil_fuel_consumption,43844.173
2015,gas_consumption,fossil_fuel_consumption,34780.121
2015,hydro_consumption,low_carbon_consumption,9827.171
2015,nuclear_consumption,low_carbon_consumption,6516.074
2015,oil_consumption,fossil_fuel_consumption,50891.976
2015,other_renewable_consumption,low_carbon_consumption,1361.715
2015,solar_consumption,low_carbon_consumption,649.74
2015,wind_consumption,low_carbon_consumption,2103.669
2016,biofuel_consumption,low_carbon_consumption,944.501
2016,coal_consumption,fossil_fuel_consumption,43195.639
2016,gas_consumption,fossil_fuel_consumption,35590.036
2016,hydro_consumption,low_carbon_consumption,10091.741
2016,nuclear_consumption,low_carbon_consumption,6575.951
2016,oil_consumption,fossil_fuel_consumption,51920.156
2016,other_renewable_consumption,low_carbon_consumption,1377.77
2016,solar_consumption,low_carbon_consumption,825.45
2016,wind_consumption,low_carbon_consumption,2423.694
2017,biofuel_consumption,low_carbon_consumption,972.009
2017,coal_consumption,fossil_fuel_consumption,43359.508
2017,gas_consumption,fossil_fuel_consumption,36585.642
2017,hydro_consumption,low_carbon_consumption,10164.682
2017,nuclear_consumption,low_carbon_consumption,6596.391
2017,oil_consumption,fossil_fuel_consumption,52567.52
2017,other_renewable_consumption,low_carbon_consumption,1457.234
2017,solar_consumption,low_carbon_consumption,1117.368
2017,wind_consumption,low_carbon_consumption,2852.43
2018,biofuel_consumption,low_carbon_consumption,1040.053
2018,coal_consumption,fossil_fuel_consumption,44109.462
2018,gas_consumption,fossil_fuel_consumption,38516.651
2018,hydro_consumption,low_carbon_consumption,10367.535
2018,nuclear_consumption,low_carbon_consumption,6711.461
2018,oil_consumption,fossil_fuel_consumption,53181.125
